Region,ProjectName,ProjectPath
New Cairo(East Cairo),AL-BOROUJ,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\AL-BOROUJ
New Cairo(East Cairo),ALIVA,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\ALIVA
New Cairo(East Cairo),CAIRO FESTIVAL CITY,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\CAIRO FESTIVAL CITY
New Cairo(East Cairo),EMAAR - MIVIDA,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\EMAAR - MIVIDA
New Cairo(East Cairo),EMAAR-UP TOWN CAIRO,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\EMAAR-UP TOWN CAIRO
New Cairo(East Cairo),I CITY NEW CAIRO,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\I CITY NEW CAIRO
New Cairo(East Cairo),LANA,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\LANA
New Cairo(East Cairo),MOSTAKBAL CITY,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\MOSTAKBAL CITY
New Cairo(East Cairo),NEW HELIOPOLIS,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\NEW HELIOPOLIS
New Cairo(East Cairo),NEW-MIVIDA,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\NEW-MIVIDA
New Cairo(East Cairo),SODIC-EDNC,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\SODIC-EDNC
New Cairo(East Cairo),TAJ-CITY,D:\3-Coding\Projects for DME\Mountain view\Projects\1-New Cairo(East Cairo)\TAJ-CITY
North Coast,MARASSI,D:\3-Coding\Projects for DME\Mountain view\Projects\3-North Coast\MARASSI
North Coast,NORTH COAST EXT,D:\3-Coding\Projects for DME\Mountain view\Projects\3-North Coast\NORTH COAST EXT
October,VILLETTE,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\VILLETTE
October,HYDE PARK,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\HYDE PARK
October,I CITY OCTOBER,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\I CITY OCTOBER
October,MNHD-SARAI,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\MNHD-SARAI
October,MV1-EXT,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\MV1-EXT
October,OCTOBER PARK,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\OCTOBER PARK
October,SODIC,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\SODIC
October,SWAN LAKE RESIDENCE (EAST),D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\SWAN LAKE RESIDENCE (EAST)
October,SWANLAKE WEST,D:\3-Coding\Projects for DME\Mountain view\Projects\2-October(West Cairo)\SWANLAKE WEST
